alphadk|Some Australian guy that developed this bot.$Use !report to tell me stuff|yellow|AlphaDK|Player
%|Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head. Get out of my head.$Get.$Out.$Of.$My.$Head.|purple|%|Poem
dear sunshine|The way you glow through my blinds in the morning.$It makes me feel like you missed me.$Kissing my forehead to help me out of bed.$Making me rub the sleepy from my eyes.$$Are you asking me to come out and play?$Are you trusting me to wish away a rainy day?$I look above. The sky is blue.$It's a secret, but I trust you too.$$If it wasn't for you, I could sleep forever.$But I'm not mad.$$I want breakfast.|orange|Dear Sunshine|Poem
i want breakfast|The way you glow through my blinds in the morning.$It makes me feel like you missed me.$Kissing my forehead to help me out of bed.$Making me rub the sleepy from my eyes.$$Are you asking me to come out and play?$Are you trusting me to wish away a rainy day?$I look above. The sky is blue.$It's a secret, but I trust you too.$$If it wasn't for you, I could sleep forever.$But I'm not mad.$$I want breakfast.|orange|Dear Sunshine|Poem
eagles can fly|Monkeys can climb.$Crickets can leap.$Horses can race.$Owls can seek.$Cheetahs can run.$Eagles can fly.$People can try.$But that's about it|purple|Eagles Can Fly|Poem
people can try|Monkeys can climb.$Crickets can leap.$Horses can race.$Owls can seek.$Cheetahs can run.$Eagles can fly.$People can try.$But that's about it|purple|Eagles Can Fly|Poem
but that's about it|Monkeys can climb.$Crickets can leap.$Horses can race.$Owls can seek.$Cheetahs can run.$Eagles can fly.$People can try.$But that's about it|purple|Eagles Can Fly|Poem
that's about it|Monkeys can climb.$Crickets can leap.$Horses can race.$Owls can seek.$Cheetahs can run.$Eagles can fly.$People can try.$But that's about it|purple|Eagles Can Fly|Poem
t3blbibzb3vyifroaxjkiev5zq==|SSBjYW4gZmVlbCB0aGUgdGVuZGVybmVz$cyBvZiBoZXIgc2tpbiB0aHJvdWdoIHRo$ZSBrbmlmZSwgYXMgaWYgaXQgd2VyZSBh$biBleHRlbnNpb24gb2YgbXkgc2Vuc2Ug$b2YgdG91Y2guIE15IGJvZHkgbmVhcmx5$IGNvbnZ1bHNlcy4gVGhlcmUncyBzb21l$dGhpbmcgaW5jcmVkaWJseSBmYWludCwg$ZGVlcCBkb3duLCB0aGF0IHNjcmVhbXMg$dG8gcmVzaXN0IHRoaXMgdW5jb250cm9s$bGFibGUgcGxlYXN1cmUuIEJ1dCBJIGNh$biBhbHJlYWR5IHRlbGwgdGhhdCBJJ20g$YmVpbmcgcHVzaGVkIG92ZXIgdGhlIGVk$Z2UuIEkgY2FuJ3QuLi5JIGNhbid0IHN0$b3AgbXlzZWxmLg==|purple|T3BlbiBZb3VyIFRoaXJkIEV5ZQ==|Poem
nonsense|SSBjYW4gZmVlbCB0aGUgdGVuZGVybmVz$cyBvZiBoZXIgc2tpbiB0aHJvdWdoIHRo$ZSBrbmlmZSwgYXMgaWYgaXQgd2VyZSBh$biBleHRlbnNpb24gb2YgbXkgc2Vuc2Ug$b2YgdG91Y2guIE15IGJvZHkgbmVhcmx5$IGNvbnZ1bHNlcy4gVGhlcmUncyBzb21l$dGhpbmcgaW5jcmVkaWJseSBmYWludCwg$ZGVlcCBkb3duLCB0aGF0IHNjcmVhbXMg$dG8gcmVzaXN0IHRoaXMgdW5jb250cm9s$bGFibGUgcGxlYXN1cmUuIEJ1dCBJIGNh$biBhbHJlYWR5IHRlbGwgdGhhdCBJJ20g$YmVpbmcgcHVzaGVkIG92ZXIgdGhlIGVk$Z2UuIEkgY2FuJ3QuLi5JIGNhbid0IHN0$b3AgbXlzZWxmLg==|purple|T3BlbiBZb3VyIFRoaXJkIEV5ZQ==|Poem
third eye|SSBjYW4gZmVlbCB0aGUgdGVuZGVybmVz$cyBvZiBoZXIgc2tpbiB0aHJvdWdoIHRo$ZSBrbmlmZSwgYXMgaWYgaXQgd2VyZSBh$biBleHRlbnNpb24gb2YgbXkgc2Vuc2Ug$b2YgdG91Y2guIE15IGJvZHkgbmVhcmx5$IGNvbnZ1bHNlcy4gVGhlcmUncyBzb21l$dGhpbmcgaW5jcmVkaWJseSBmYWludCwg$ZGVlcCBkb3duLCB0aGF0IHNjcmVhbXMg$dG8gcmVzaXN0IHRoaXMgdW5jb250cm9s$bGFibGUgcGxlYXN1cmUuIEJ1dCBJIGNh$biBhbHJlYWR5IHRlbGwgdGhhdCBJJ20g$YmVpbmcgcHVzaGVkIG92ZXIgdGhlIGVk$Z2UuIEkgY2FuJ3QuLi5JIGNhbid0IHN0$b3AgbXlzZWxmLg==|purple|T3BlbiBZb3VyIFRoaXJkIEV5ZQ==|Poem
save me|The colors, they won't stop.$Bright, beautiful colors$Flashing, expanding, piercing$Red, green, blue$An endless$cacophany$Of meaningless$noise$$$The noise, it won't stop.$Violent, grating waveforms$Squeaking, screeching, piercing$Sine, cosine, tangent$    Like playing a chalkboard on a turntable$        Like playing a vinyl on a pizza crust$An endless$poem$Of meaningless$$$$$$$$$$$$$$$$$$$$$$$$Load Me|orange|Save Me|Poem
save me 1|The colors, they won't stop.$Bright, beautiful colors$Flashing, expanding, piercing$Red, green, blue$An endless$cacophany$Of meaningless$noise$$$The noise, it won't stop.$Violent, grating waveforms$Squeaking, screeching, piercing$Sine, cosine, tangent$    Like playing a chalkboard on a turntable$        Like playing a vinyl on a pizza crust$An endless$poem$Of meaningless$$$$$$$$$$$$$$$$$$$$$$$$Load Me|orange|Save Me|Poem
save me 2|The colors, they won't$Bright, bea t ful c l rs$Flash ng, exp nd ng, piercing$Red, green, blue$An  ndless$CACOPHANY$Of meaningless$noise$$$The noise, it won't STOP.$Viol nt, grating w vef rms$Sq e king, screech ng, piercing$SINE, COSINE, TANGENT$    Like play ng a ch lkboard on a t rntable$        Like playing a KNIFE on a BREATHING RIBCAGE$ n  ndl ss$p  m$Of m  n ngl ss$$$$$$$$$$$$$$$$$$$$$$$$Delete Her|orange|Save Me (Act 2)|Poem
brain power|O-oooooooooo AAAAE-A-A-I-A-U- JO-oooooooooooo AAE-O-A-A-U-U-A- E-eee-ee-eee AAAAE-A-E-I-E-A- JO-ooo-oo-oo-oo EEEEO-A-AAA-AAAA|purple|Let the bass kick|Song, BPM:170-173
the reinhardt|@FE_Heroes_JP I no more money for you. I now use the Reinhardt.|blue|Dylan Bricker|@BrickerDylan
the reinhardt™|@FE_Heroes_JP I no more money for you. I now use the Reinhardt.|blue|Dylan Bricker|@BrickerDylan
kelly|Henry + Pass|purple|Kelly Emblem|Team Formation
kelly emblem|Henry + Pass|purple|Kelly Emblem|Team Formation
pass emblem|Henry + Pass|purple|Kelly Emblem|Team Formation
henry emblem|Henry + Pass|purple|Kelly Emblem|Team Formation
||grey||
alondite|Enables counterattack regardless of distance if this unit is attacked.|red|Alondite|Red Sword, Mt:16
amiti|Spd-2. Attack twice when initiating combat.|red|Amiti|Red Sword, Mt:11
armorslayer-|Effective against armored units.|red|Armorslayer|Red Sword, Mt:8
armourslayer-|Effective against armored units.|red|Armorslayer|Red Sword, Mt:8
armorslayer|Effective against armored units.|red|Armorslayer+|Red Sword, Mt:12
armourslayer|Effective against armored units.|red|Armorslayer+|Red Sword, Mt:12
armorslayer+|Effective against armored units.|red|Armorslayer+|Red Sword, Mt:12
armourslayer+|Effective against armored units.|red|Armorslayer+|Red Sword, Mt:12
ayra's blade|Grants Spd+3. If unit's Spd - foe's Spd >= 1, gain Special cooldown charge +1 per attack.$(If similar skill also used, only highest value applied.)|red|Ayra's Blade|Red Sword, Mt:16
ayras blade|Grants Spd+3. If unit's Spd - foe's Spd >= 1, gain Special cooldown charge +1 per attack.$(If similar skill also used, only highest value applied.)|red|Ayra's Blade|Red Sword, Mt:16
binding blade|Grants Def/Res+2 when this unit is attacked.|red|Binding Blade|Red Sword, Mt:16
blazing durandal|Grants Atk+3. If unit's Atk > foe's, unit gains Special cooldown charge +1.$(If using other similar skill, only highest value applied.)|red|Blazing Durandal|Red Sword, Mt:16
brave sword-|Spd-5. Attack twice when initiating combat.|red|Brave Sword|Red Sword, Mt:5
brave sword|Spd-5. Attack twice when initiating combat.|red|Brave Sword+|Red Sword, Mt:8
brave sword+|Spd-5. Attack twice when initiating combat.|red|Brave Sword+|Red Sword, Mt:8
divine tyrfing|Grants Res+3. If in combat against foe using magic, unit receives 50% less damage from the first attack.|red|Divine Tyrfing|Red Sword, Mt:16
durandal|Grants Atk+4 during combat if unit initiates attack.|red|Durandal|Red Sword, Mt:16
eckesachs|Inflicts Def-4 on foes within 2 spaces through their next actions at the start of each turn.|red|Eckesachs|Red Sword, Mt:16
falchion|Effective against dragons. At the start of every third turn, unit recovers 10 HP.|red|Falchion|Red Sword, Mt:16
folkvangr|Grants Atk+5 at start of turn if unit's HP <= 50%.|red|Folkvangr|Red Sword, Mt:16
iron sword|No special effect.|red|Iron Sword|Red Sword, Mt:6
killing edge-|Accelerates Special trigger (cooldown count-1).|red|Killing Edge|Red Sword, Mt:7
killing edge|Accelerates Special trigger (cooldown count-1).|red|Killing Edge+|Red Sword, Mt:11
killing edge+|Accelerates Special trigger (cooldown count-1).|red|Killing Edge+|Red Sword, Mt:11
mystletainn|Accelerates Special trigger (cooldown count-1).|red|Mystletainn|Red Sword, Mt:16
ragnell|Enables counterattack regardless of distance if this unit is attacked.|red|Ragnell|Red Sword, Mt:16
raijinto|Enables counterattack regardless of distance if this unit is attacked.|red|Raijinto|Red Sword, Mt:16
ryoma's sword|Enables counterattack regardless of distance if this unit is attacked.|red|Raijinto|Red Sword, Mt:16
regal blade|If foe's HP is 100% when combat starts, unit receives Atk/Spd+2 during combat.|red|Regal Blade|Red Sword, Mt:16
ruby sword-|Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.|red|Ruby Sword|Red Sword, Mt:8
ruby sword|Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.|red|Ruby Sword+|Red Sword, Mt:12
ruby sword+|Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.|red|Ruby Sword+|Red Sword, Mt:12
siegfried|Enables counterattack regardless of distance if this unit is attacked.|red|Siegfried|Red Sword, Mt:16
sieglinde|Grants adjacent allies Atk+3 through their next actions at the start of each turn.|red|Sieglinde|Red Sword, Mt:16
silver sword-|No special effect.|red|Silver Sword|Red Sword, Mt:11
silver sword|No special effect.|red|Silver Sword+|Red Sword, Mt:15
silver sword+|No special effect.|red|Silver Sword+|Red Sword, Mt:15
slaying edge-|Accelerates Special trigger (cooldown count-1).|red|Slaying Edge|Red Sword, Mt:10
slaying edge|Accelerates Special trigger (cooldown count-1).|red|Slaying Edge+|Red Sword, Mt:14
slaying edge+|Accelerates Special trigger (cooldown count-1).|red|Slaying Edge+|Red Sword, Mt:14
sol katti|If wielder initiates attack at HP <= 50%, any follow-up occurs immediately.|red|Sol Katti|Red Sword, Mt:16
steel sword|No special effect.|red|Steel Sword|Red Sword, Mt:8
tyrfing|Grants Def+4 in battle if unit's HP <= 50%.|red|Tyrfing|Red Sword, Mt:16
wo dao-|Grants +10 to damage when Special triggers.|red|Wo Dao|Red Sword, Mt:9
wo dao|Grants +10 to damage when Special triggers.|red|Wo Dao+|Red Sword, Mt:13
wo dao+|Grants +10 to damage when Special triggers.|red|Wo Dao+|Red Sword, Mt:13
yato|Grants Spd+4 during combat if unit initiates attack.|red|Yato|Red Sword, Mt:16
zanbato-|Effective against cavalry units.|red|Zanbato|Red Sword, Mt:10
zanbato|Effective against cavalry units.|red|Zanbato+|Red Sword, Mt:14
zanbato+|Effective against cavalry units.|red|Zanbato+|Red Sword, Mt:14
bolganone-|No special effect.|red|Bolganone|Red Tome, Mt:9
bolganone|No special effect.|red|Bolganone+|Red Tome, Mt:13
bolganone+|No special effect.|red|Bolganone+|Red Tome, Mt:13
brynhildr|If unit initiates attack, restricts foe's next-turn movement to 1 space or less.|red|Brynhildr|Red Tome, Mt:14
cymbeline|Grants adjacent allies Atk+4 through their next actions after any combat this unit initiates.|red|Cymbeline|Red Tome, Mt:14
elfire|No special effect.|red|Elfire|Red Tome, Mt:6
fenrir-|No special effect.|red|Fenrir|Red Tome, Mt:9
fenrir|No special effect.|red|Fenrir+|Red Tome, Mt:13
fenrir+|No special effect.|red|Fenrir+|Red Tome, Mt:13
fire|No special effect.|red|Fire|Red Tome, Mt:4
flux|No special effect.|red|Flux|Red Tome, Mt:4
ragnarok|If unit has 100% HP at the start of combat, unit receives Atk/Spd +5. If attacking, unit will receive 5 damage after combat.|red|Ragnarok|Red Tome, Mt:14
ragnarok online|If unit has 100% HP at the start of combat, unit receives Atk/Spd +5. If attacking, unit will receive 5 damage after combat.|red|Ragnarok|Red Tome, Mt:14
sword art online|Well known anime series made in 2009, what joke am I even making|orange|Sword Art Online|Aniem, IMDB: 7.8
rauorblade-|Slows Special trigger (cooldown count+1). Adds total bonuses on unit to damage dealt.|red|Rauorblade|Red Tome, Mt:9
rauorblade|Slows Special trigger (cooldown count+1). Adds total bonuses on unit to damage dealt.|red|Rauorblade+|Red Tome, Mt:13
rauorblade+|Slows Special trigger (cooldown count+1). Adds total bonuses on unit to damage dealt.|red|Rauorblade+|Red Tome, Mt:13
rauorowl-|During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.|red|Rauorowl|Red Tome, Mt:6
rauorowl|During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.|red|Rauorowl+|Red Tome, Mt:10
rauorowl+|During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.|red|Rauorowl+|Red Tome, Mt:10
rauorraven-|Grants weapon advantage vs. colorless foes.|red|Rauorraven|Red Tome, Mt:7
rauorraven|Grants weapon advantage vs. colorless foes.|red|Rauorraven+|Red Tome, Mt:11
rauorraven+|Grants weapon advantage vs. colorless foes.|red|Rauorraven+|Red Tome, Mt:11
rauorwolf-|Effective against cavalry units.|red|Rauorwolf|Red Tome, Mt:6
rauorwolf|Effective against cavalry units.|red|Rauorwolf+|Red Tome, Mt:10
rauorwolf+|Effective against cavalry units.|red|Rauorwolf+|Red Tome, Mt:10
ruin|No special effect.|red|Ruin|Red Tome, Mt:6
tomato tome-|Grants allies within 2 spaces Atk/Spd+1 during combat.|red|Tomato Tome|Red Tome, Mt:8
maki tome-|Grants allies within 2 spaces Atk/Spd+1 during combat.|red|Tomato Tome|Red Tome, Mt:8
tomato tome|Grants allies within 2 spaces Atk/Spd+1 during combat.|red|Tomato Tome+|Red Tome, Mt:12
maki tome|Grants allies within 2 spaces Atk/Spd+1 during combat.|red|Tomato Tome+|Red Tome, Mt:12
tomato tome+|Grants allies within 2 spaces Atk/Spd+1 during combat.|red|Tomato Tome+|Red Tome, Mt:12
maki tome+|Grants allies within 2 spaces Atk/Spd+1 during combat.|red|Tomato Tome+|Red Tome, Mt:12
valflame|At start of turn, all foes in cardinal directions with Res 1 or more lower than unit suffer Atk/Res-4 until the end of foe's next action.|red|Valflame|Red Tome, Mt:14
fire breath-|No special effect.|grey|Fire Breath|Breath, Mt:6
fire breath|No special effect.|grey|Fire Breath+|Breath, Mt:8
fire breath+|No special effect.|grey|Fire Breath+|Breath, Mt:8
flametongue-|No special effect.|red|Flametongue|Breath, Mt:11
flametongue|No special effect.|red|Flametongue+|Breath, Mt:15
flametongue+|No special effect.|red|Flametongue+|Breath, Mt:15
light breath-|Grants adjacent allies Def/Res+4 through their next actions after any combat this unit initiates.|grey|Light Breath|Breath, Mt:9
light breath|Grants adjacent allies Def/Res+4 through their next actions after any combat this unit initiates.|grey|Light Breath+|Breath, Mt:13
light breath+|Grants adjacent allies Def/Res+4 through their next actions after any combat this unit initiates.|grey|Light Breath+|Breath, Mt:13
lightning breath-|Enables counterattack regardless of attacker's range. Slows Special trigger (cooldown count+1).|grey|Lightning Breath|Breath, Mt:7
lightning breath|Enables counterattack regardless of attacker's range. Slows Special trigger (cooldown count+1).|grey|Lightning Breath+|Breath, Mt:11
lightning breath+|Enables counterattack regardless of attacker's range. Slows Special trigger (cooldown count+1).|grey|Lightning Breath+|Breath, Mt:11
lb|Enables counterattack regardless of attacker's range. Slows Special trigger (cooldown count+1).|grey|Lightning Breath+|Breath, Mt:11
lb+|Enables counterattack regardless of attacker's range. Slows Special trigger (cooldown count+1).|grey|Lightning Breath+|Breath, Mt:11
berkut's lance-|Grants Res+4 when the unit is under attack.|blue|Berkut's Lance|Blue Lance, Mt:10
berkut's lance|Grants Res+4 when the unit is under attack.|blue|Berkut's Lance+|Blue Lance, Mt:14
berkut's lance+|Grants Res+4 when the unit is under attack.|blue|Berkut's Lance+|Blue Lance, Mt:14
berkuts lance-|Grants Res+4 when the unit is under attack.|blue|Berkut's Lance|Blue Lance, Mt:10
berkuts lance|Grants Res+4 when the unit is under attack.|blue|Berkut's Lance+|Blue Lance, Mt:14
berkuts lance+|Grants Res+4 when the unit is under attack.|blue|Berkut's Lance+|Blue Lance, Mt:14
brave lance-|Spd-5. Attack twice when initiating combat.|blue|Brave Lance|Blue Lance, Mt:5
brave lance|Spd-5. Attack twice when initiating combat.|blue|Brave Lance+|Blue Lance, Mt:8
brave lance+|Spd-5. Attack twice when initiating combat.|blue|Brave Lance+|Blue Lance, Mt:8
carrot lance-|If unit initiates attack, unit recovers 4 HP after the battle.|blue|Carrot Lance|Blue Lance, Mt:9
carrot lance|If unit initiates attack, unit recovers 4 HP after the battle.|blue|Carrot Lance+|Blue Lance, Mt:13
carrot lance+|If unit initiates attack, unit recovers 4 HP after the battle.|blue|Carrot Lance+|Blue Lance, Mt:13
cursed lance|Grants Atk/Spd+2 and accelerates Special trigger (cooldown count-1). Unit takes 4 damage after combat.|blue|Cursed Lance|Blue Lance, Mt:16
deft harpoon-|If unit has 100% HP at start of combat, unit gets Atk/Spd/Def/Res+2. If attacking, unit will take 2 damage after combat.|blue|Deft Harpoon|Blue Lance, Mt:10
deft harpoon|If unit has 100% HP at start of combat, unit gets Atk/Spd/Def/Res+2. If attacking, unit will take 2 damage after combat.|blue|Deft Harpoon+|Blue Lance, Mt:14
deft harpoon+|If unit has 100% HP at start of combat, unit gets Atk/Spd/Def/Res+2. If attacking, unit will take 2 damage after combat.|blue|Deft Harpoon+|Blue Lance, Mt:14
fensalir|Inflicts Atk-4 on foes within 2 spaces through their next actions at the start of each turn.|blue|Fensalir|Blue Lance, Mt:16
firesweep lance-|Unit and enemies cannot use counterattacks.|blue|Firesweep Lance|Blue Lance, Mt:11
firesweep lance|Unit and enemies cannot use counterattacks.|blue|Firesweep Lance+|Blue Lance, Mt:15
firesweep lance+|Unit and enemies cannot use counterattacks.|blue|Firesweep Lance+|Blue Lance, Mt:15
first bite-|Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.|blue|First Bite|Blue Lance, Mt:10
first bite|Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.|blue|First Bite+|Blue Lance, Mt:14
first bite+|Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.|blue|First Bite+|Blue Lance, Mt:14
geirskogul|Grants Def+3. Grants allies with sword, lance, axe, bow, or dagger within 2 spaces Atk/Spd+3 during combat.|blue|Geirskogul|Blue Lance, Mt:16
gradivus|Enables counterattack regardless of distance if this unit is attacked.|blue|Gradivus|Blue Lance, Mt:16
heavy spear-|Effective against armored units.|blue|Heavy Spear|Blue Lance, Mt:8
heavy spear|Effective against armored units.|blue|Heavy Spear+|Blue Lance, Mt:12
heavy spear+|Effective against armored units.|blue|Heavy Spear+|Blue Lance, Mt:12
iron lance|No special effect.|blue|Iron Lance|Blue Lance, Mt:6
killer lance-|Accelerates Special trigger (cooldown count-1).|blue|Killer Lance|Blue Lance, Mt:7
killer lance|Accelerates Special trigger (cooldown count-1).|blue|Killer Lance+|Blue Lance, Mt:11
killer lance+|Accelerates Special trigger (cooldown count-1).|blue|Killer Lance+|Blue Lance, Mt:11
ridersbane-|Effective against cavalry units.|blue|Ridersbane|Blue Lance, Mt:10
ridersbane|Effective against cavalry units.|blue|Ridersbane+|Blue Lance, Mt:14
ridersbane+|Effective against cavalry units.|blue|Ridersbane+|Blue Lance, Mt:14
ridersbigguy-|Effective against cavalry units.|blue|Ridersbane|Blue Lance, Mt:10
ridersbigguy|Effective against cavalry units.|blue|Ridersbane+|Blue Lance, Mt:14
ridersbigguy+|Effective against cavalry units.|blue|Ridersbane+|Blue Lance, Mt:14
sapphire lance-|Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.|blue|Sapphire Lance|Blue Lance, Mt:8
sapphire lance|Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.|blue|Sapphire Lance+|Blue Lance, Mt:12
sapphire lance+|Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.|blue|Sapphire Lance+|Blue Lance, Mt:12
siegmund|Grants adjacent allies Atk+3 through their next actions at the start of each turn.|blue|Siegmund|Blue Lance, Mt:16
silver lance-|No special effect.|blue|Silver Lance|Blue Lance, Mt:11
silver lance|No special effect.|blue|Silver Lance+|Blue Lance, Mt:15
silver lance+|No special effect.|blue|Silver Lance+|Blue Lance, Mt:15
slaying lance-|Accelerates Special trigger (cooldown count-1).|blue|Slaying Lance|Blue Lance, Mt:10
slaying lance|Accelerates Special trigger (cooldown count-1).|blue|Slaying Lance+|Blue Lance, Mt:14
slaying lance+|Accelerates Special trigger (cooldown count-1).|blue|Slaying Lance+|Blue Lance, Mt:14
steel lance|No special effect.|blue|Steel Lance|Blue Lance, Mt:8
vidofnir|If unit is attacked by foe using sword, axe or lance, unit receives Def+7 during combat.|blue|Vidofnir|Blue Lance, Mt:16
aura|Restores 5 HP to adjacent allies after any combat this unit initiates.|blue|Aura|Blue Tome, Mt:14
blessed bouquet-|Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.|blue|Blessed Bouquet|Blue Tome, Mt:8
blessed bouquet|Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.|blue|Blessed Bouquet+|Blue Tome, Mt:12
blessed bouquet+|Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.|blue|Blessed Bouquet+|Blue Tome, Mt:12
blue egg-|If unit initiates attack, unit recovers 4 HP after the battle.|blue|Blue Egg|Blue Tome, Mt:7
blue egg|If unit initiates attack, unit recovers 4 HP after the battle.|blue|Blue Egg+|Blue Tome, Mt:11
blue egg+|If unit initiates attack, unit recovers 4 HP after the battle.|blue|Blue Egg+|Blue Tome, Mt:11
blarblade-|Slows Special trigger (cooldown count+1). Adds total bonuses on unit to damage dealt.|blue|Blarblade|Blue Tome, Mt:9
blarblade|Slows Special trigger (cooldown count+1). Adds total bonuses on unit to damage dealt.|blue|Blarblade+|Blue Tome, Mt:13
blarblade+|Slows Special trigger (cooldown count+1). Adds total bonuses on unit to damage dealt.|blue|Blarblade+|Blue Tome, Mt:13
blarowl-|During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.|blue|Blarowl|Blue Tome, Mt:6
blarowl|During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.|blue|Blarowl+|Blue Tome, Mt:10
blarowl+|During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.|blue|Blarowl+|Blue Tome, Mt:10
blarraven-|Grants weapon advantage vs. colorless foes.|blue|Blarraven|Blue Tome, Mt:7
blarraven|Grants weapon advantage vs. colorless foes.|blue|Blarraven+|Blue Tome, Mt:11
blarraven+|Grants weapon advantage vs. colorless foes.|blue|Blarraven+|Blue Tome, Mt:11
blarwolf-|Effective against cavalry units.|blue|Blarwolf|Blue Tome, Mt:6
